HGNC ID	Approved Symbol	Approved Name	UniProt ID(supplied by UniProt)
HGNC:5	A1BG	alpha-1-B glycoprotein	P04217
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	
HGNC:24086	A1CF	APOBEC1 complementation factor	Q9NQ94
HGNC:7	A2M	alpha-2-macroglobulin	P01023
HGNC:27057	A2M-AS1	A2M antisense RNA 1 (head to head)	
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	A8K2U0
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase	Q9NPC4
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Q9UNA3
HGNC:13666	AAAS	aladin WD repeat nucleoporin	Q9NRG9
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Q86V21
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	
HGNC:17	AADAC	arylacetamide deacetylase	P22760
HGNC:24427	AADACL2	arylacetamide deacetylase-like 2	Q6P093
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	
HGNC:32037	AADACL3	arylacetamide deacetylase-like 3	Q5VUY0
HGNC:32038	AADACL4	arylacetamide deacetylase-like 4	Q5VUY2
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	
HGNC:17929	AADAT	aminoadipate aminotransferase	Q8N5Z0
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	Q7RTV5
HGNC:25662	AAGAB	alpha- and gamma-adaptin binding protein	Q6PD74
HGNC:19679	AAK1	AP2 associated kinase 1	Q2M2I8
HGNC:30205	AAMDC	adipogenesis associated, Mth938 domain containing	Q9H7C9
HGNC:18	AAMP	angio associated migratory cell protein	Q13685
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Q16613
HGNC:15886	AAR2	AAR2 splicing factor homolog	Q9Y312
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Q4LEZ3
HGNC:20	AARS	alanyl-tRNA synthetase	P49588
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Q5JTZ9
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Q9BTE6
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1	
