>CCDC6_ENST00000263102.6,chr10:61548521-61666414
1,61665880,61666414
2,61612311,61612460
3,61592283,61592411
4,61574410,61574513
5,61572393,61572553
6,61566680,61566836
7,61564178,61564278
8,61554231,61554355
9,61548521,61552869

>PAX8_ENST00000429538.3,chr2:113973574-114036527
1,114036408,114036527
2,114035947,114036046
3,114004331,114004496
4,114002004,114002201
5,114000267,114000355
6,113999585,113999707
7,113999128,113999303
8,113994178,113994298
9,113992971,113993159
10,113984732,113984833
11,113977669,113977755
12,113973574,113976186

>TMPRSS2_ENST00000332149.5,chr21:42836478-42903043
1,42880008,42880086
2,42870046,42870116
3,42866283,42866505
4,42861434,42861520
5,42860321,42860440
6,42852403,42852529
7,42851099,42851209
8,42848504,42848547
9,42845252,42845423
10,42843733,42843908
11,42842575,42842670
12,42840323,42840465
13,42839661,42839813
14,42836478,42838080

>RUNX1_ENST00000344691.4,chr21:36160098-37376965
1,36259140,36260987
2,36252854,36253010
3,36231771,36231875
4,36206707,36206898
5,36171598,36171759
6,36160098,36164907

>SS18_ENST00000269137.7,chr18:23596578-23671181
1,23670465,23670865
2,23667465,23667541
3,23658040,23658124
4,23637553,23637706
5,23632588,23632809
6,23619253,23619420
7,23618519,23618623
8,23614969,23615091
9,23612363,23612496
10,23597978,23598344

>SSX2_ENST00000336777.5,chrX:52725946-52736239
1,52736162,52736211
2,52734731,52734819
3,52734178,52734292
4,52733547,52733642
5,52731631,52731680
6,52729493,52729628
7,52727836,52727981
8,52727034,52727138
9,52725946,52726568

>SSX1_ENST00000376919.3,chrX:48114752-48126879
1,48114752,48114867
2,48116657,48116745
3,48117181,48117295
4,48117971,48118066
5,48121201,48121250
6,48123217,48123352
7,48125722,48125826
8,48126289,48126879

>EWSR1_ENST00000397938.2,chr22:29663998-29696515
1,29664007,29664338
2,29668205,29668241
3,29668369,29668420
4,29669730,29669853
5,29674019,29674205
6,29678379,29678546
7,29682912,29683123
8,29684595,29684775
9,29687551,29687588
10,29688126,29688158
11,29688477,29688595
12,29692229,29692358
13,29693817,29693939
14,29694723,29694885
15,29695224,29695321
16,29695589,29695841
17,29696112,29696515

>PAX3_ENST00000344493.4,chr2:223064607-223163715
1,223163250,223163715
2,223161697,223161932
3,223160247,223160376
4,223158886,223159020
5,223096797,223097002
6,223085941,223086106
7,223084859,223085073
8,223064607,223066161

>PAX7_ENST00000375375.3,chr1:18957500-19075360
1,18957500,18958182
2,18960797,18961032
3,18961605,18961734
4,18962731,18962865
5,19018248,19018447
6,19027147,19027312
7,19029588,19029790
8,19062126,19062632

>EML4_ENST00000318522.5,chr2:42396490-42559688
1,42396490,42396776
2,42472645,42472827
3,42483641,42483770
4,42488261,42488434
5,42490318,42490446
6,42491846,42491871
7,42507990,42508113
8,42509963,42510112
9,42511774,42511843
10,42513409,42513519
11,42515367,42515462
12,42522265,42522399
13,42522521,42522656
14,42528381,42528532
15,42530244,42530369
16,42530455,42530586
17,42531624,42531691
18,42543102,42543190
19,42544567,42544664
20,42552607,42552694
21,42553294,42553392
22,42556026,42556156
23,42556874,42559688

>FCHSD1_ENST00000435817.2,chr5:141018869-141030986
1,141030915,141030986
2,141030587,141030684
3,141029926,141029971
4,141029454,141029521
5,141028962,141029103
6,141028739,141028875
7,141028524,141028587
8,141027535,141027663
9,141026965,141027087
10,141026702,141026797
11,141026170,141026289
12,141025654,141025758
13,141025338,141025499
14,141024587,141024715
15,141024426,141024509
16,141024140,141024257
